SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,eOFF_RATING,OFF_RATING,sp_work_OFF_RATING,eDEF_RATING,DEF_RATING,sp_work_DEF_RATING,eNET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,ePACE,PACE,sp_work_PACE,PIE,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,eOFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,eDEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,eNET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,ePACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK
2018-19,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,0041800234,2019-05-05T00:00:00,POR vs. DEN,L,36.1,111.6,112.5,112.5,121.7,123.6,123.6,-10.1,-11.1,-11.1,0.368,3.5,19.4,0,0.077,0.04,5.6,0.455,0.522,0.341,96.81,95.69,95.69,0.144,9,22,9,22,0.409,1,7,7,7,9,6,6,6,7,8,8,9,9,9,1,2,3,4,6,8,2,8,8,2,8,8,8,6,6,3,6,3,7
2018-19,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,0041800233,2019-05-03T00:00:00,POR vs. DEN,W,58,114.4,115.1,115.1,113.4,111.3,111.3,0.9,3.8,3.8,0.222,4,21.6,0.032,0.073,0.051,5.4,0.458,0.526,0.22,87.22,87.75,87.75,0.125,10,24,10,24,0.417,1,1,1,1,1,5,5,5,6,5,5,6,5,5,4,1,2,2,7,4,1,7,7,9,9,9,9,7,3,2,3,2,6
2018-19,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,0041800232,2019-05-01T00:00:00,POR @ DEN,W,38.6,92.7,94.9,94.9,90.1,92.2,92.2,2.6,2.7,2.7,0.182,1.33,15.4,0,0.071,0.04,11.5,0.324,0.373,0.242,99.31,96.99,96.99,0.061,5,17,5,17,0.294,1,1,1,1,6,9,9,9,1,2,2,5,6,6,9,6,6,4,8,7,5,9,9,8,7,7,7,9,9,9,9,9,9
2018-19,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,0041800231,2019-04-29T00:00:00,POR @ DEN,L,42.6,118,118,118,123.5,123.3,123.3,-5.5,-5.4,-5.4,0.222,1,15.4,0,0.083,0.043,15.4,0.667,0.73,0.337,100.78,100.85,100.85,0.16,12,21,12,21,0.571,1,7,7,7,3,3,3,3,8,7,7,7,7,7,4,7,6,4,4,5,8,1,1,3,6,5,5,5,2,4,2,4,1
2018-19,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,0041800165,2019-04-23T00:00:00,POR vs. OKC,W,45.3,119.4,123.4,123.4,113,116.3,116.3,6.5,7.1,7.1,0.222,1,12.2,0.042,0.122,0.079,12.2,0.667,0.685,0.384,101.71,98.62,98.62,0.206,17,33,17,33,0.515,1,1,1,1,2,2,2,2,5,6,6,4,4,4,4,7,8,1,1,1,7,1,2,1,5,6,6,1,1,1,1,1,2
2018-19,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,0041800164,2019-04-21T00:00:00,POR @ OKC,W,41.1,109.6,111.2,111.2,93.2,94.3,94.3,16.3,16.9,16.9,0.296,2,24.2,0,0.063,0.032,12.1,0.474,0.555,0.253,104.7,103.3,103.3,0.093,7,19,7,19,0.368,1,1,1,1,4,7,7,7,3,3,3,2,2,2,2,4,1,4,9,9,6,6,6,7,2,3,3,8,8,8,8,8,8
2018-19,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,0041800163,2019-04-19T00:00:00,POR @ OKC,L,36.6,116.8,116.7,116.7,125.7,126.9,126.9,-8.9,-10.3,-10.3,0.261,1.5,16.7,0.028,0.103,0.062,11.1,0.548,0.63,0.33,102.71,102.26,102.26,0.163,10,21,10,21,0.476,1,7,7,7,8,4,4,4,9,9,9,8,8,8,3,5,5,3,3,2,4,4,3,4,4,4,4,4,3,4,3,4,3
2018-19,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,0041800162,2019-04-16T00:00:00,POR vs. OKC,W,36.7,126.3,130,130,97.7,97.5,97.5,28.6,32.5,32.5,0.214,3,19.4,0,0.108,0.053,6.5,0.571,0.602,0.278,105.39,103.98,103.98,0.186,10,21,10,21,0.476,1,1,1,1,7,1,1,1,4,4,4,1,1,1,7,3,4,4,2,3,3,3,5,6,1,1,1,2,3,4,3,4,3
2018-19,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,0041800161,2019-04-14T00:00:00,POR vs. OKC,W,38.8,101.7,102.4,102.4,92.1,91.6,91.6,9.5,10.8,10.8,0.2,0.67,11.4,0,0.08,0.043,17.1,0.548,0.612,0.307,103.99,103.96,103.96,0.167,9,21,9,21,0.429,1,1,1,1,5,8,8,8,2,1,1,3,3,3,8,9,9,4,5,5,9,4,4,5,3,2,2,3,6,4,6,4,5
